연번,시도,시군구,읍면동,우편번호,주소,위도,경도
1,서울,종로구,청운효자동,3047,서울특별시 종로구 자하문로 92 ,37.5841381,126.9705976
2,서울,종로구,사직동,3176,서울특별시 종로구 경희궁1길 15,37.5713516,126.9706248
3,서울,종로구,삼청동,3049,서울특별시 종로구 삼청로 107 ,37.5849776,126.981792
4,서울,종로구,부암동,3022,서울특별시 종로구 창의문로 145 ,37.5925634,126.9641561
5,서울,종로구,평창동,3009,서울특별시 종로구 평창문화로 65 ,37.6063625,126.9683355
6,서울,종로구,무악동,3030,서울특별시 종로구 통일로14길 36 ,37.5759275,126.95814
7,서울,종로구,교남동,3166,서울특별시 종로구 송월길 154 ,37.5719124,126.9619593
8,서울,종로구,가회동,3055,서울특별시 종로구 북촌로 35 ,37.5801053,126.9847902
9,서울,종로구,종로1234가동,3140,서울특별시 종로구 종로17길 8 ,37.570684,126.9889566
10,서울,종로구,종로56가동,3126,서울특별시 종로구 종로35가길 19 ,37.5720506,127.0050264
11,서울,종로구,이화동,3087,서울특별시 종로구 이화장길 33 ,37.5769782,127.0043489
12,서울,종로구,혜화동,3076,서울특별시 종로구 혜화로 12 ,37.5868221,127.000522
13,서울,종로구,창신1동,3118,서울특별시 종로구 지봉로 8-6 ,37.5707605,127.0163177
14,서울,종로구,창신2동,3102,서울특별시 종로구 창신길 62 ,37.5744568,127.0108524
15,서울,종로구,창신3동,3095,서울특별시 종로구 지봉로 87 ,37.5779924,127.0146963
16,서울,종로구,숭인1동,3108,서울특별시 종로구 지봉로 86 ,37.5778304,127.0156304
17,서울,종로구,숭인2동,3112,서울특별시 종로구 종로65길 10 ,37.5748793,127.0199741
18,서울,중  구,소공동,4526,서울특별시 중구 남대문로1길 31-5,37.5624224,126.9770437
19,서울,중  구,회현동,4635,서울특별시 중구 퇴계로8길 46,37.5573015,126.9793685
20,서울,중  구,명동,4630,서울특별시 중구 퇴계로20나길 16,37.5583258,126.9852682
21,서울,중  구,필동,4626,서울특별시 중구 퇴계로36길 42,37.5601579,126.9955791
22,서울,중  구,장충동,4606,서울특별시 중구 장충단로8길 22,37.5619088,127.0078442
23,서울,중  구,광희동,4560,서울특별시 중구 퇴계로 303-9,37.564461,127.0050407
24,서울,중  구,을지로동,4543,서울특별시 중구 충무로9길 20,37.5670302,126.9914212
25,서울,중  구,신당동,4610,서울특별시 중구 다산로33길 3,37.5620232,127.0144255
26,서울,중  구,다산동,4604,서울특별시 중구 동호로15길 50,37.5542597,127.0082859
27,서울,중  구,약수동,4597,서울특별시 중구 다산로 92,37.5524744,127.0089848
28,서울,중  구,청구동,4591,서울특별시 중구 청구로3길 55,37.5570846,127.0146584
29,서울,중  구,신당제5동,4578,서울특별시 중구 다산로44길 85,37.5651081,127.0218748
30,서울,중  구,동화동,4587,서울특별시 중구 다산로36길 100,37.5592001,127.019505
31,서울,중  구,황학동,4575,서울특별시 중구 난계로11길 52,37.5674103,127.0214109
32,서울,중  구,중림동,4500,서울특별시 중구 만리재로175,37.5542175,126.9634093
33,서울,용산구,후암동,4331,서울특별시 용산구 후암로 32-6,37.5486858,126.9781489
34,서울,용산구,용산2가동,4339,서울특별시 용산구 신흥로 90,37.5459441,126.9854817
35,서울,용산구,남영동,4335,서울특별시 용산구 두텁바위로 25,37.5457838,126.9748238
36,서울,용산구,청파동,4309,서울특별시 용산구 청파로49길 6,37.5454694,126.9698742
37,서울,용산구,원효로제1동,4368,서울특별시 용산구 백범로 350,37.5372398,126.9677057
38,서울,용산구,원효로제2동,4360,서울특별시 용산구 효창원로8길 3,37.5343436,126.9515465
39,서울,용산구,효창동,4311,서울특별시 용산구 효창원로 161,37.5425387,126.9617849
40,서울,용산구,용문동,4356,서울특별시 용산구 새창로12길 13,37.5389579,126.9575622
